Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/echo,1142,1142,3000.0,3141.983124781111,2931.2232000011136,6014.570199999071,0.0,1.9077287321074254,1.9077287321074254,3000,3000,3100,3200,3600,3900,4600,4900,5900,6000,6000
GET,/api/hello,1142,1142,3000.0,3142.6458552539307,2920.5418000001373,6144.800600000963,0.0,1.9077287321074254,1.9077287321074254,3000,3000,3100,3200,3500,3900,4700,5200,6100,6100,6100
GET,/api/ping,1122,1122,3000.0,3152.282684402838,2928.7769999973534,5935.68039999991,0.0,1.874318421562637,1.874318421562637,3000,3000,3100,3200,3600,3900,4900,5100,5900,5900,5900
GET,/api/products,1206,1206,3000.0,3141.1422702322066,2927.3299999986193,6316.807899998821,0.0,2.0146417258507485,2.0146417258507485,3000,3000,3100,3200,3500,4000,4600,5100,6100,6300,6300
POST,/api/products,1174,1174,3000.0,3136.5340517035524,2930.7312999990245,6209.450000000288,0.0,1.961185228979087,1.961185228979087,3000,3000,3100,3100,3500,3900,4700,5300,6000,6200,6200
DELETE,/api/products/1,95,95,3000.0,3213.5473915791067,2940.1543000021775,5825.68590000119,0.0,0.15869897508774555,0.15869897508774555,3000,3100,3300,3500,3600,3800,5700,5800,5800,5800,5800
GET,/api/products/1,126,126,3000.0,3181.0137142857116,2932.139800001096,6377.81989999894,0.0,0.21048495643216777,0.21048495643216777,3000,3000,3000,3100,3600,4300,5600,5700,6400,6400,6400
PUT,/api/products/1,110,110,3000.0,3160.2422954543395,2930.4094999988592,6220.096900000499,0.0,0.18375670799633695,0.18375670799633695,3000,3000,3100,3300,3800,3800,4300,4900,6200,6200,6200
DELETE,/api/products/10,122,122,3000.0,3117.3884983604476,2941.550900000948,5275.145899999188,0.0,0.20380289432321005,0.20380289432321005,3000,3000,3100,3100,3400,3800,4200,4700,5300,5300,5300
GET,/api/products/10,116,116,3000.0,3094.3962663792913,2940.0218000009772,5142.519600000014,0.0,0.1937798011597735,0.1937798011597735,3000,3000,3000,3100,3300,3700,4800,5100,5100,5100,5100
PUT,/api/products/10,126,126,3000.0,3148.252038095209,2931.4367000006314,5015.533499999947,0.0,0.21048495643216777,0.21048495643216777,3000,3000,3200,3200,3600,3800,4400,4500,5000,5000,5000
DELETE,/api/products/2,109,109,3000.0,3096.050050458787,2941.376999999193,4897.9900000013,0.0,0.18208619246909752,0.18208619246909752,3000,3000,3100,3100,3400,3600,4100,4500,4900,4900,4900
GET,/api/products/2,116,116,3000.0,3152.2350353448337,2925.5874999980733,5904.849000000468,0.0,0.1937798011597735,0.1937798011597735,3000,3000,3100,3200,3700,3900,4000,5500,5900,5900,5900
PUT,/api/products/2,111,111,3000.0,3181.4121324325156,2933.4249999992608,5671.519000001354,0.0,0.18542722352357638,0.18542722352357638,3000,3000,3100,3200,3500,4600,5100,5600,5700,5700,5700
DELETE,/api/products/3,100,100,3000.0,3149.6911139999424,2933.080399998289,5832.942699998966,0.0,0.16705155272394268,0.16705155272394268,3000,3000,3100,3200,3600,3800,5600,5800,5800,5800,5800
GET,/api/products/3,124,124,3000.0,3196.5074838711694,2932.839500001137,5870.841699999801,0.0,0.20714392537768891,0.20714392537768891,3000,3000,3200,3300,3800,4100,5000,5300,5900,5900,5900
PUT,/api/products/3,116,116,3000.0,3094.7476500000294,2934.241799997835,4990.997900000366,0.0,0.1937798011597735,0.1937798011597735,3000,3000,3100,3100,3300,3700,4200,4300,5000,5000,5000
DELETE,/api/products/4,124,124,3000.0,3098.9225161291156,2931.8783999988227,5859.189800001332,0.0,0.20714392537768891,0.20714392537768891,3000,3000,3000,3100,3300,3700,4500,4900,5900,5900,5900
GET,/api/products/4,122,122,3000.0,3107.7119057377404,2930.6148999985453,5048.881599999731,0.0,0.20380289432321005,0.20380289432321005,3000,3000,3100,3200,3400,3700,4000,4900,5000,5000,5000
PUT,/api/products/4,123,123,3000.0,3199.429194308839,2934.8171000001457,5306.635299999471,0.0,0.20547340985044948,0.20547340985044948,3000,3000,3300,3400,3700,3900,5100,5100,5300,5300,5300
DELETE,/api/products/5,109,109,3000.0,3092.243759633017,2931.209400001535,4275.191599999744,0.0,0.18208619246909752,0.18208619246909752,3000,3000,3100,3200,3500,3700,3800,3800,4300,4300,4300
GET,/api/products/5,119,119,3000.0,3222.2423504203675,2931.208699999843,6378.75989999884,0.0,0.1987913477414918,0.1987913477414918,3000,3000,3100,3200,3800,4700,5800,5900,6400,6400,6400
PUT,/api/products/5,100,100,3000.0,3151.2779930001307,2931.215399999928,4827.285599998504,0.0,0.16705155272394268,0.16705155272394268,3000,3000,3200,3300,3600,3900,4500,4800,4800,4800,4800
DELETE,/api/products/6,115,115,3000.0,3130.8081000000807,2933.2941000011488,4899.191799999244,0.0,0.19210928563253407,0.19210928563253407,3000,3000,3200,3300,3500,3800,4200,4500,4900,4900,4900
GET,/api/products/6,103,103,3000.0,3114.96622718434,2939.8475000016333,5120.736199998646,0.0,0.17206309930566097,0.17206309930566097,3000,3000,3000,3100,3300,3600,4700,5000,5100,5100,5100
PUT,/api/products/6,111,111,3000.0,3122.7492945944914,2935.5398999978206,5879.1197999998985,0.0,0.18542722352357638,0.18542722352357638,3000,3000,3100,3100,3400,3700,4700,4900,5900,5900,5900
DELETE,/api/products/7,100,100,3000.0,3074.9969259998766,2934.726600000431,4564.672000000428,0.0,0.16705155272394268,0.16705155272394268,3000,3000,3100,3200,3300,3500,3600,4600,4600,4600,4600
GET,/api/products/7,131,131,3000.0,3117.9446366411958,2938.754400000107,6270.6760999990365,0.0,0.2188375340683649,0.2188375340683649,3000,3000,3000,3100,3400,3900,4600,5100,6300,6300,6300
PUT,/api/products/7,107,107,3000.0,3112.9913766353543,2941.019400001096,5605.34330000155,0.0,0.17874516141461866,0.17874516141461866,3000,3000,3100,3100,3400,3800,4200,4300,5600,5600,5600
DELETE,/api/products/8,123,123,3000.0,3194.7143390243436,2938.2850999973016,10419.508700000733,0.0,0.20547340985044948,0.20547340985044948,3000,3000,3100,3200,3700,3800,4600,5200,10000,10000,10000
GET,/api/products/8,127,127,3000.0,3143.012414173398,2933.7249000000156,5649.924299999839,0.0,0.2121554719594072,0.2121554719594072,3000,3000,3100,3300,3500,3700,4600,5200,5600,5600,5600
PUT,/api/products/8,125,125,3000.0,3187.81204079998,2919.7713999983534,5136.412400001063,0.0,0.20881444090492834,0.20881444090492834,3000,3000,3100,3300,3900,4300,4900,5100,5100,5100,5100
DELETE,/api/products/9,110,110,3000.0,3130.3588254545275,2928.5345999996935,5310.050899999624,0.0,0.18375670799633695,0.18375670799633695,3000,3000,3100,3200,3500,3800,4600,4900,5300,5300,5300
GET,/api/products/9,105,105,3000.0,3161.916564761539,2934.508400001505,4996.318800000154,0.0,0.1754041303601398,0.1754041303601398,3000,3000,3100,3300,3700,4000,4400,4900,5000,5000,5000
PUT,/api/products/9,126,126,3000.0,3153.9266253968667,2934.071200001199,4942.596799999592,0.0,0.21048495643216777,0.21048495643216777,3000,3000,3200,3300,3500,3800,4900,4900,4900,4900,4900
GET,/api/status,1136,1136,3000.0,3161.4920139964934,2920.047400002659,6091.005199999927,0.0,1.8977056389439888,1.8977056389439888,3000,3000,3100,3200,3600,4000,4800,5100,6000,6100,6100
GET,/api/time,1134,1134,3000.0,3160.5424632275053,2920.4920000011043,10652.405499999077,0.0,1.89436460788951,1.89436460788951,3000,3000,3100,3200,3600,3900,5000,5500,6400,11000,11000
,Aggregated,11507,11507,3000.0,3146.7482085339334,2919.7713999983534,10652.405499999077,0.0,19.222622171944085,19.222622171944085,3000,3000,3100,3200,3600,3900,4700,5100,6100,10000,11000
